City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
274,Chiungutwa,TZ,60.06,clear sky,-10.8833,38.9833,
275,Pevek,RU,32.4,overcast clouds,69.7008,170.3133,Severnoye Zoloto
276,Praya,CV,72.12,scattered clouds,14.9215,-23.5087,LT Aparthotel
277,Lexington,US,74.55,broken clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
278,Puerto Colombia,CO,81.7,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
279,Wana,PK,83.17,few clouds,32.2989,69.5725,Rest House at Wana Camp
280,Watsa,CD,61.65,broken clouds,3.0372,29.5355,Hôtel Le Pacifique
281,Aklavik,CA,82.44,overcast clouds,68.2191,-135.0107,Aklavik Inn
282,Moindou,NC,79.36,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
283,Praia Da Vitoria,PT,65.75,broken clouds,38.7333,-27.0667,Hotel Branco I
284,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
285,Taitung,TW,89.87,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
286,Kozhva,RU,55.33,scattered clouds,65.1073,57.0459,Gostinicha IP Kayuda Olga Aleksandrovna
287,Rojhan,PK,99.01,clear sky,28.6868,69.9534,Nawab Imam Bux Khan Bangla
288,Kavieng,PG,84.61,light rain,-2.5744,150.7967,Nusa Island Retreat
289,Tiksi,RU,43.47,light rain,71.6872,128.8694,Arktika
290,Mombasa,KE,68.41,few clouds,-4.0547,39.6636,New Palm Tree Hotel
291,Elbistan,TR,58.69,clear sky,38.2059,37.1983,Sword Hotel
292,Tibiri,NE,83.14,few clouds,13.5627,7.0485,FADA GAO FA TIBIRI
293,Maple Creek,CA,63.99,overcast clouds,49.9168,-109.4848,Willowbend Campground & Cabins
294,Karratha,AU,71.02,clear sky,-20.7377,116.8463,ibis Styles Karratha
295,Praia,CV,72.12,scattered clouds,14.9215,-23.5087,LT Aparthotel
296,Bontang,ID,85.32,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
297,Namanga,KE,54.52,broken clouds,-2.5433,36.7905,Hillsgate Home
298,Sao Joaquim,BR,50.63,broken clouds,-28.2939,-49.9317,Pousada Alternativa Cravo e Canela
299,Raudeberg,NO,59.95,light rain,61.9875,5.1352,Nordre Silda.
300,Mackay,AU,64.69,overcast clouds,-21.15,149.2,International Lodge Motel
301,Ko Samui,TH,84.15,overcast clouds,9.5357,99.9357,The Passage
302,Toucheng,TW,87.98,overcast clouds,24.8592,121.8233,和風時尚VILLA會館
303,Santa Rosa,PH,92.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
304,Swift Current,CA,60.39,light rain,50.2834,-107.8014,"Motel 6 Swift Current, SK"
305,Tondano,ID,80.69,overcast clouds,1.3038,124.9112,Villa Bella
306,Da Lat,VN,73.74,overcast clouds,11.9465,108.4419,YK Home Villa Dalat
307,Mezen,RU,57.76,clear sky,65.8522,44.24,Gostevoy Dom Everest
308,Comodoro Rivadavia,AR,40.86,clear sky,-45.8667,-67.5,Austral Hotel
309,Putatan,MY,89.62,few clouds,5.9258,116.0609,"Shangri-La Tanjung Aru, Kota Kinabalu"
310,Dubbo,AU,53.73,light rain,-32.25,148.6167,Quality Inn Dubbo International
311,Axim,GH,76.21,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
312,Richards Bay,ZA,61.27,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
313,Takab,IR,64.99,clear sky,36.4009,47.1133,نانوایی جواد
314,Aykhal,RU,67.05,light rain,66.0,111.5,
315,Katsuura,JP,81.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
316,Winnemucca,US,77.05,haze,40.973,-117.7357,Winners Inn Casino
317,Hofn,IS,52.23,overcast clouds,64.2539,-15.2082,Hótel Höfn
318,Santa Isabel,BR,60.1,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
